Order_Item_ID,Order_ID,Product_ID,Quantity,Unit_Price,Total_Price
1,1,56,2,37341.47,74682.94
2,2,244,2,3395.09,6790.18
3,3,189,1,58222.2,58222.2
4,4,212,5,14743.99,73719.95
5,5,111,4,12779.39,51117.56
6,6,248,4,55808.74,223234.96
7,7,220,5,29590.01,147950.05
8,8,164,1,40728.62,40728.62
9,9,228,4,66102.43,264409.72
10,10,109,4,29367.34,117469.36
11,11,246,3,17087.52,51262.56
12,12,121,4,12980.71,51922.84
13,13,166,2,5840.36,11680.72
14,14,193,1,1860.99,1860.99
15,15,183,1,12734.47,12734.47
16,16,21,1,7177.36,7177.36
17,17,76,1,22632.82,22632.82
18,18,142,2,24742.5,49485.0
19,19,131,3,29903.35,89710.05
20,20,64,4,45985.44,183941.76
21,21,217,5,26516.35,132581.75
22,22,45,4,61881.38,247525.52
23,23,5,1,16804.25,16804.25
24,24,165,5,51492.2,257461.0
25,25,115,4,6132.98,24531.92
26,26,183,4,12734.47,50937.88
27,27,202,5,10640.66,53203.3
28,28,193,3,1860.99,5582.97
29,29,165,2,51492.2,102984.4
30,30,49,3,10523.25,31569.75
31,31,37,2,3858.64,7717.28
32,32,84,2,18918.53,37837.06
33,33,152,2,11244.0,22488.0
34,34,241,5,29741.02,148705.1
35,35,34,2,55038.37,110076.74
36,36,68,2,43109.08,86218.16
37,37,93,4,46909.04,187636.16
38,38,123,4,32240.11,128960.44
39,39,198,2,11169.83,22339.66
40,40,117,4,13182.39,52729.56
41,41,65,3,25140.63,75421.89
42,42,115,3,6132.98,18398.94
43,43,13,2,53776.88,107553.76
44,44,28,5,54176.7,270883.5
45,45,135,3,32067.55,96202.65
46,46,48,1,64744.15,64744.15
47,47,26,3,57281.74,171845.22
48,48,135,3,32067.55,96202.65
49,49,111,1,12779.39,12779.39
50,50,59,4,43410.48,173641.92
51,51,49,5,10523.25,52616.25
52,52,59,5,43410.48,217052.4
53,53,212,4,14743.99,58975.96
54,54,183,5,12734.47,63672.35
55,55,126,5,64362.26,321811.3
56,56,214,5,46708.94,233544.7
57,57,224,3,53537.82,160613.46
58,58,46,1,32367.18,32367.18
59,59,195,3,56252.99,168758.97
60,60,119,3,33444.49,100333.47
61,61,231,5,63124.22,315621.1
62,62,198,5,11169.83,55849.15
63,63,64,3,45985.44,137956.32
64,64,170,5,55187.3,275936.5
65,65,203,5,52650.81,263254.05
66,66,80,4,21690.71,86762.84
67,67,193,4,1860.99,7443.96
68,68,15,4,27970.24,111880.96
69,69,148,2,45590.74,91181.48
70,70,175,5,66335.25,331676.25
71,71,46,5,32367.18,161835.9
72,72,88,2,38006.23,76012.46
73,73,34,1,55038.37,55038.37
74,74,39,3,57498.93,172496.79
75,75,80,4,21690.71,86762.84
76,76,21,4,7177.36,28709.44
77,77,183,4,12734.47,50937.88
78,78,152,3,11244.0,33732.0
79,79,106,4,19251.91,77007.64
80,80,166,4,5840.36,23361.44
81,81,135,1,32067.55,32067.55
82,82,134,5,50043.92,250219.6
83,83,133,4,45678.86,182715.44
84,84,56,4,37341.47,149365.88
